"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count"
"GO:0045229","external encapsulating structure organization","160/4843","333/18860",7.35215652495722e-19,2.93286891512914e-15,2.34273256462424e-15,160
"GO:0030198","extracellular matrix organization","159/4843","331/18860",9.74763470227073e-19,2.93286891512914e-15,2.34273256462424e-15,159
"GO:0043062","extracellular structure organization","159/4843","332/18860",1.40239189438754e-18,2.93286891512914e-15,2.34273256462424e-15,159
"GO:0042391","regulation of membrane potential","198/4843","474/18860",7.92714385920527e-15,1.24337251431635e-11,9.9318768193885e-12,198
"GO:0019730","antimicrobial humoral response","94/4843","184/18860",1.19446441908338e-13,1.49881395306583e-10,1.19723054721179e-10,94
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","127/4843","279/18860",4.40979326091083e-13,4.61117381982576e-10,3.68333784477131e-10,127
"GO:0006959","humoral immune response","136/4843","307/18860",8.16819936354219e-13,7.32104040098053e-10,5.84793942403374e-10,136
"GO:0016064","immunoglobulin mediated immune response","97/4843","203/18860",8.22047864528713e-12,6.19590629152712e-09,4.94919884132688e-09,97
"GO:0019724","B cell mediated immunity","98/4843","206/18860",8.88797523489704e-12,6.19590629152712e-09,4.94919884132688e-09,98
"GO:0030900","forebrain development","168/4843","419/18860",4.74247024970742e-11,2.97542583466643e-08,2.37672640619548e-08,168
"GO:0007411","axon guidance","109/4843","243/18860",5.96027579657356e-11,3.39952457706387e-08,2.71549024569251e-08,109
"GO:0048562","embryonic organ morphogenesis","131/4843","308/18860",6.66047731254265e-11,3.48231955490771e-08,2.78162565658031e-08,131
"GO:0097485","neuron projection guidance","109/4843","244/18860",8.07516144391681e-11,3.89719714608724e-08,3.1130237760719e-08,109
"GO:0019731","antibacterial humoral response","47/4843","78/18860",1.1099359627362e-10,4.97409873586211e-08,3.97323693126847e-08,47
"GO:0007389","pattern specification process","186/4843","486/18860",4.32517885021277e-10,1.80907814041566e-07,1.4450650179553e-07,186
"GO:0007586","digestion","73/4843","148/18860",5.06968084724706e-10,1.98794860222675e-07,1.58794411274627e-07,73
"GO:0022617","extracellular matrix disassembly","43/4843","72/18860",1.01794904528659e-09,3.48650610595056e-07,2.78496981199446e-07,43
"GO:0098659","inorganic cation import across plasma membrane","69/4843","139/18860",1.05584341748582e-09,3.48650610595056e-07,2.78496981199446e-07,69
"GO:0099587","inorganic ion import across plasma membrane","69/4843","139/18860",1.05584341748582e-09,3.48650610595056e-07,2.78496981199446e-07,69
"GO:0008037","cell recognition","80/4843","172/18860",2.6459700698315e-09,8.19505175505347e-07,6.54608684224109e-07,80
"GO:0048706","embryonic skeletal system development","67/4843","136/18860",2.74300425336504e-09,8.19505175505347e-07,6.54608684224109e-07,67
"GO:0050878","regulation of body fluid levels","152/4843","389/18860",3.30612320985202e-09,9.29921099912152e-07,7.42807301089166e-07,152
"GO:0035725","sodium ion transmembrane transport","85/4843","187/18860",3.40901901466042e-09,9.29921099912152e-07,7.42807301089166e-07,85
